,Company Name,Industry,Symbol
316,NATCO Pharma Ltd.,Healthcare,NATCOPHARM
317,NBCC (India) Ltd.,Construction,NBCC
318,NCC Ltd.,Construction,NCC
319,NHPC Ltd.,Power,NHPC
320,NIIT Ltd.,Consumer Services,NIITLTD
321,NLC India Ltd.,Power,NLCINDIA
322,NOCIL Ltd.,Chemicals,NOCIL
323,NTPC Ltd.,Power,NTPC
324,Narayana Hrudayalaya Ltd.,Healthcare,NH
325,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
326,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR
327,Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA
328,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
329,Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18
330,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA
331,Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO
332,Oberoi Realty Ltd.,Realty,OBEROIRLTY
333,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
334,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
335,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA
336,One 97 Communications Ltd.,Financial Services,PAYTM
337,Oracle Financial Services Software Ltd.,Information Technology,OFSS
338,Orient Electric Ltd.,Consumer Durables,ORIENTELEC
339,PB Fintech Ltd.,Financial Services,POLICYBZR
340,PCBL Ltd.,Chemicals,PCBL
341,PI Industries Ltd.,Chemicals,PIIND
342,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING
343,PNC Infratech Ltd.,Construction,PNCINFRA
344,PVR Ltd.,Media Entertainment & Publication,PVR
345,Page Industries Ltd.,Textiles,PAGEIND
346,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI
347,Persistent Systems Ltd.,Information Technology,PERSISTENT
348,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET
349,Pfizer Ltd.,Healthcare,PFIZER
350,Phoenix Mills Ltd.,Realty,PHOENIXLTD
351,Pidilite Industries Ltd.,Chemicals,PIDILITIND
352,Poly Medicure Ltd.,Healthcare,POLYMED
353,Polycab India Ltd.,Capital Goods,POLYCAB
