,Company Name,Industry,Symbol
161,Garware Technical Fibres Ltd.,Textiles,GARFIBRES
162,General Insurance Corporation of India,Financial Services,GICRE
163,Gland Pharma Ltd.,Healthcare,GLAND
164,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO
165,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK
166,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS
167,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP
168,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO
169,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP
170,Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND
171,Godrej Properties Ltd.,Realty,GODREJPROP
172,Granules India Ltd.,Healthcare,GRANULES
173,Graphite India Ltd.,Capital Goods,GRAPHITE
174,Grasim Industries Ltd.,Construction Materials,GRASIM
175,Great Eastern Shipping Co. Ltd.,Services,GESHIP
176,Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL
177,Grindwell Norton Ltd.,Capital Goods,GRINDWELL
178,Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI
179,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL
180,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM
181,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD
182,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC
183,Gujarat Pipavav Port Ltd.,Services,GPPL
184,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC
185,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL
186,H.E.G. Ltd.,Capital Goods,HEG
187,HCL Technologies Ltd.,Information Technology,HCLTECH
188,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC
189,HDFC Bank Ltd.,Financial Services,HDFCBANK
190,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
191,HFCL Ltd.,Telecommunication,HFCL
192,HLE Glascoat Ltd.,Capital Goods,HLEGLAS
193,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS
194,Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN
195,Havells India Ltd.,Consumer Durables,HAVELLS
196,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
197,Hikal Ltd.,Healthcare,HIKAL
198,Hindalco Industries Ltd.,Metals & Mining,HINDALCO
199,Hinduja Global Solutions Ltd.,Services,HGS
200,Hindustan Aeronautics Ltd.,Capital Goods,HAL
201,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER
202,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
203,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
204,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC
205,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
206,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST
207,Honeywell Automation India Ltd.,Capital Goods,HONAUT
208,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO
209,Housing Development Finance Corporation Ltd.,Financial Services,HDFC
210,ICICI Bank Ltd.,Financial Services,ICICIBANK
211,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI
212,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI
